country;cumulative_total_cases;daily_new_cases;active_cases;cumulative_total_deaths;daily_new_deaths
Afghanistan;76628.0;1509.0;15490.0;3068.0;34.0
Afghanistan;77963.0;1335.0;16734.0;3104.0;36.0
Afghanistan;79224.0;1261.0;17814.0;3145.0;41.0
Afghanistan;80744.0;1520.0;18927.0;3195.0;50.0
Afghanistan;82326.0;1582.0;20077.0;3251.0;56.0
Afghanistan;84050.0;1724.0;21176.0;3305.0;54.0
Afghanistan;85892.0;1842.0;22665.0;3356.0;51.0
Afghanistan;87716.0;1824.0;24024.0;3412.0;56.0
Afghanistan;88888.0;1172.0;24830.0;3460.0;48.0
Afghanistan;89861.0;973.0;25395.0;3527.0;67.0
Afghanistan;91468.0;1607.0;26446.0;3612.0;85.0
Afghanistan;93272.0;1804.0;27883.0;3683.0;71.0
Afghanistan;94809.0;1537.0;29055.0;3748.0;65.0
Afghanistan;96531.0;1722.0;30292.0;3842.0;94.0
Afghanistan;98844.0;2313.0;32203.0;3943.0;101.0
Afghanistan;100521.0;1677.0;33065.0;4030.0;87.0
Afghanistan;101975.0;1454.0;33978.0;4122.0;92.0
Afghanistan;103902.0;1927.0;35286.0;4215.0;93.0
Afghanistan;105755.0;1853.0;36391.0;4293.0;78.0
Afghanistan;107957.0;2202.0;38026.0;4366.0;73.0
Afghanistan;109625.0;1668.0;39067.0;4456.0;90.0
Afghanistan;111592.0;1967.0;40270.0;4523.0;67.0
Afghanistan;113125.0;1533.0;41348.0;4594.0;71.0
Afghanistan;114219.0;1094.0;42086.0;4650.0;56.0
Afghanistan;115751.0;1532.0;42733.0;4730.0;80.0
Afghanistan;117158.0;1407.0;43159.0;4794.0;64.0
Afghanistan;118659.0;1501.0;43772.0;4871.0;77.0
Afghanistan;120216.0;1557.0;44242.0;4962.0;91.0
Afghanistan;122156.0;1940.0;45184.0;5048.0;86.0
Afghanistan;123485.0;1329.0;45678.0;5107.0;59.0
Afghanistan;124694.0;1209.0;45819.0;5199.0;92.0
